,中文名,英文名,上映日,ID,海報Url
0,捍衛戰士：獨行俠,Top Gun: Maverick,2022-05-25,7a1823ec-21a7-41c5-81ec-bba25e17b5ea,https://www.ambassador.com.tw/assets/img/movies/TopGunMaverick_180x270_Poster.jpg
1,猛鬼大學：第2學期,Haunted Universities 2：Second Semester,已上映,00bf1503-d807-40bb-b9a6-dd05794f3987,https://www.ambassador.com.tw/assets/img/movies/HauntedUniversities2SecondSemester_180x270_Poster.jpg
2,鹿王,The Deer King,已上映,b49aac5d-02e6-4c55-9548-b29bfb9d3d75,https://www.ambassador.com.tw/assets/img/movies/TheDeerKing_180x270_Poster.jpg
3,詭棋,The Darker The Lake,已上映,8adf9a1c-ff81-4187-a54d-1c605adb1528,https://www.ambassador.com.tw/assets/img/movies/TheDarkerTheLake_180x270_Poster.jpg
4,漁港的肉子,Fortune Favors Lady Nikuko,已上映,1b52b51d-8c99-42a8-827d-b8c5fed683e9,https://www.ambassador.com.tw/assets/img/movies/FortuneFavorsLadyNikuko_180x270_Poster.jpg
5,奪冠,LEAP,已上映,5b5ec7ef-14fe-47bf-816a-b13735c895b0,https://www.ambassador.com.tw/assets/img/movies/LEAP_180x270_Poster.jpg
6,輪到你了 劇場版,Your Turn to Kill: The Movie,已上映,f85320a7-49e8-457e-a7ef-946fad30b42c,https://www.ambassador.com.tw/assets/img/movies/YourTurntoKillTheMovie_180x270_Poster.jpg
7,阿哈：帶我走,a-ha: The Movie,已上映,7e5e58db-3cd7-4b2c-b9fb-3c5e774382bd,https://www.ambassador.com.tw/assets/img/movies/ahaTheMovie_180x270_Poster.jpg
8,親愛的童伴,PETITE MAMAN,已上映,e372719e-3009-4eb9-99e9-1dcb8d93abc2,https://www.ambassador.com.tw/assets/img/movies/PETITEMAMAN_180x270_Poster.jpg
9,一家之主,Reclaim,已上映,2f105bb0-53ca-4b66-b96b-453e4308d189,https://www.ambassador.com.tw/assets/img/movies/Reclaim_180x270_Poster.jpg
10,奇異博士2：失控多重宇宙,Doctor Strange in the Multiverse of Madness,已上映,4cd9d0f9-b10c-4f3b-8dd7-e633db993439,https://www.ambassador.com.tw/assets/img/movies/DoctorStrangeintheMultiverseofMadne_180x270_Poster.jpg
11,售命,Life For Sale,已上映,737ee0a1-ede2-4a91-ac35-8418db4afbd6,https://www.ambassador.com.tw/assets/img/movies/LifeForSale_180x270_Poster.jpg
12,記憶殺神,Memory,已上映,3bbbb6c0-1aef-4d0c-8072-355837526ed0,https://www.ambassador.com.tw/assets/img/movies/Memory_180x270_Poster.jpg
13,鳶,Tonbi,已上映,8950e374-3137-430e-8a8e-4190fb0b77fb,https://www.ambassador.com.tw/assets/img/movies/Tonbi_180x270_Poster.jpg
14,媽的多重宇宙,Everything Everywhere All at Once,已上映,226e78cd-9376-4c45-b2a9-ddad29981640,https://www.ambassador.com.tw/assets/img/movies/EverythingEverywhereAllatOnce_180x270_Poster.jpg
15,重慶森林 4K數位修復版,Chungking Express,已上映,cb2b20ee-311f-40cd-832e-9928a02f4827,https://www.ambassador.com.tw/assets/img/movies/ChungkingExpress_180x270_Poster.jpg
16,怪獸與鄧不利多的秘密,Fantastic Beasts: The Secrets of Dumbledore,已上映,d43c571f-5ecb-415e-872c-02feb7afb5c9,https://www.ambassador.com.tw/assets/img/movies/FantasticBeastsTheSecretsofDumbledo_180x270_Poster.jpg
17,咒.,Incantation,已上映,4c3bec3d-b1bd-4c8c-a27d-50db1999fe63,https://www.ambassador.com.tw/assets/img/movies/Incantation_180x270_Poster.jpg
18,咒,Incantation,已上映,2414e07b-b948-4f6b-b698-413e8284395b,https://www.ambassador.com.tw/assets/img/movies/Incantation_180x270_Poster.jpg
19,該死的阿修羅,Goddamned Asura,已上映,fea48181-ed87-406e-9375-1ff0f19ea3bb,https://www.ambassador.com.tw/assets/img/movies/GoddamnedAsura_180x270_Poster.jpg
20,侏羅紀世界：統霸天下,Jurassic World Dominion,2022-06-08,eae9ad90-f534-49a0-9194-8bd2f80b201e,https://www.ambassador.com.tw/assets/img/movies/JurassicWorldDominion_180x270_Poster.jpg
21,失速母親,Full Time,2022-06-02,e108f213-0ac9-4964-b44e-296d8725232b,https://www.ambassador.com.tw/assets/img/movies/FullTime_180x270_Poster.jpg
22,好好說再見,Peaceful,2022-05-27,d6554b7b-622d-4683-9ce3-7514bf1033ac,https://www.ambassador.com.tw/assets/img/movies/Peaceful_180x270_Poster.jpg
23,費爾的旅程,Phil's Journey,2022-05-27,b6fb8667-68b2-4e5c-9a30-536a8c414a2a,https://www.ambassador.com.tw/assets/img/movies/PhilsJourney_180x270_Poster.jpg
24,淒厲人僧：卡到陰,Pee Nak 3,2022-05-20,133cdea1-3f0b-4d9a-a886-8aba8ddfa759,https://www.ambassador.com.tw/assets/img/movies/PeeNak3_180x270_Poster.jpg
25,愛在暹邏：數位經典版,Love of Siam,2022-05-20,83bea94a-cede-4d97-9a4a-e92829241568,https://www.ambassador.com.tw/assets/img/movies/LoveofSiam_180x270_Poster.jpg
26,風帶著我來（阿巴斯。風的滋味）,The Wind Will Carry Us,2022-05-20,ef685ffa-ae80-46a9-989f-c0bc9141b671,https://www.ambassador.com.tw/assets/img/movies/TheWindWillCarryUs_180x270_Poster.jpg
27,櫻桃的滋味（阿巴斯。風的滋味）,Taste of Cherry,2022-05-20,48be6c40-23eb-4806-9e0b-7039feb0cf6a,https://www.ambassador.com.tw/assets/img/movies/TasteofCherry_180x270_Poster.jpg
28,安妮詩快跑,Anais in Love,2022-05-20,345af252-a0fe-49d1-bd46-42c9cd6d1f78,https://www.ambassador.com.tw/assets/img/movies/AnaisinLove_180x270_Poster.jpg
29,第一人夫,First Gentleman,2022-05-20,13040891-3e40-49b8-9c5c-2bce3d4c1f14,https://www.ambassador.com.tw/assets/img/movies/FirstGentleman_180x270_Poster.jpg
